migration_wave,name,github_name,gitlab_url,gitlab_group,layer,domain,main_branch_gitlab,dev_branch_gitlab,has_pipeline,has_unit_test,branch_count,github_url,migration_status,notes
M1,mitf-ocr (mobile),mitf-mobile-ocr,http://10.10.20.51/front-end/banking/packages/mitf-ocr,front-end/banking/packages,mobile-package,banking-mobile,main,refactor/new-flow,False,False,2,https://github.com/mitf-dev-space/mitf-mobile-ocr,planned,Git dep from banking apps (mitf_ocr package)
M1,mobile-widgets,mitf-mobile-widgets,http://10.10.20.51/front-end/banking/mobile-widgets,front-end/banking,mobile-package,banking-mobile,master,develop,False,True,26,https://github.com/mitf-dev-space/mitf-mobile-widgets,planned,Shared UI package; path dep from all banking white-label apps
M1,ozmobile,mitf-ozmobile,http://10.10.20.51/front-end/banking/packages/ozmobile,front-end/banking/packages,mobile-package,banking-mobile,main,devolop,False,False,2,https://github.com/mitf-dev-space/mitf-ozmobile,planned,Git dep from core-mobile-banking pubspec (ozsdk)
M1,Payment core,mitf-payment-core,http://10.10.20.51/front-end/payment/payment-core,front-end/payment,mobile-package,payment-mobile,master,develop,False,True,22,https://github.com/mitf-dev-space/mitf-payment-core,planned,
M1,sharedcomponents,mitf-sharedcomponents,http://10.10.20.51/front-end/payment/sharedcomponents,front-end/payment,mobile-package,payment-mobile,main,develop,False,True,4,https://github.com/mitf-dev-space/mitf-sharedcomponents,planned,Shared UI package; path dep from all payment wallet apps
M2,Daman pay,mitf-daman-pay,http://10.10.20.51/front-end/payment/daman-pay,front-end/payment,mobile,payment-mobile,main,develop,False,True,7,https://github.com/mitf-dev-space/mitf-daman-pay,planned,
M2,Musrfy pay,mitf-musrfy-pay,http://10.10.20.51/front-end/payment/musrfy-pay,front-end/payment,mobile,payment-mobile,master,develop,False,True,11,https://github.com/mitf-dev-space/mitf-musrfy-pay,planned,
M2,Sahara pay,mitf-sahara-pay,http://10.10.20.51/front-end/payment/sahara-pay,front-end/payment,mobile,payment-mobile,main,develop,False,True,10,https://github.com/mitf-dev-space/mitf-sahara-pay,planned,
M2,Siraj Payment,mitf-siraj-payment,http://10.10.20.51/front-end/payment/siraj-payment,front-end/payment,mobile,payment-mobile,main,develop,False,True,5,https://github.com/mitf-dev-space/mitf-siraj-payment,planned,
M2,waha_pay,mitf-waha-pay,http://10.10.20.51/front-end/payment/waha_pay,front-end/payment,mobile,payment-mobile,main,,False,True,1,https://github.com/mitf-dev-space/mitf-waha-pay,planned,
M2,Yussor pay,mitf-yussor-pay,http://10.10.20.51/front-end/payment/yussor-pay,front-end/payment,mobile,payment-mobile,master,develop,False,True,17,https://github.com/mitf-dev-space/mitf-yussor-pay,planned,
M3,Core Mobile Banking,mitf-core-mobile-banking,http://10.10.20.51/front-end/banking/core-mobile-banking,front-end/banking,mobile,banking-mobile,develop,master,True,True,59,https://github.com/mitf-dev-space/mitf-core-mobile-banking,planned,
M4,Daman 360,mitf-daman-360,http://10.10.20.51/front-end/banking/daman-360,front-end/banking,mobile,banking-mobile,main,develop,False,True,5,https://github.com/mitf-dev-space/mitf-daman-360,planned,
M4,DIB bank,mitf-dib-bank,http://10.10.20.51/front-end/banking/dib-bank,front-end/banking,mobile,banking-mobile,development,develop,True,True,13,https://github.com/mitf-dev-space/mitf-dib-bank,planned,
M4,Masrfi Business,mitf-masrfi-business,http://10.10.20.51/front-end/banking/masrfi-business,front-end/banking,mobile,banking-mobile,master,develop,False,True,7,https://github.com/mitf-dev-space/mitf-masrfi-business,planned,
M4,Masrfi Plus,mitf-masrfi-plus,http://10.10.20.51/front-end/banking/masrfi-plus,front-end/banking,mobile,banking-mobile,master,develop,False,True,42,https://github.com/mitf-dev-space/mitf-masrfi-plus,planned,
M4,Mobimal,mitf-mobimal,http://10.10.20.51/front-end/banking/mobimal,front-end/banking,mobile,banking-mobile,master,develop,False,True,30,https://github.com/mitf-dev-space/mitf-mobimal,planned,
M4,Ncb Business,mitf-ncb-business,http://10.10.20.51/front-end/banking/ncb-business,front-end/banking,mobile,banking-mobile,develop,master,False,True,19,https://github.com/mitf-dev-space/mitf-ncb-business,planned,
M4,Sahara Business,mitf-sahara-business,http://10.10.20.51/front-end/banking/sahara-business,front-end/banking,mobile,banking-mobile,master,develop,False,True,8,https://github.com/mitf-dev-space/mitf-sahara-business,planned,
M4,Sahara Mobile,mitf-sahara-mobile,http://10.10.20.51/front-end/banking/sahara-mobile,front-end/banking,mobile,banking-mobile,develop,master,False,True,27,https://github.com/mitf-dev-space/mitf-sahara-mobile,planned,
M4,Siraj Business,mitf-siraj-business,http://10.10.20.51/front-end/banking/siraj-business,front-end/banking,mobile,banking-mobile,develop,main,False,True,4,https://github.com/mitf-dev-space/mitf-siraj-business,planned,
M4,Siraj Mobile,mitf-siraj-mobile,http://10.10.20.51/front-end/banking/siraj-mobile,front-end/banking,mobile,banking-mobile,main,develop,False,True,11,https://github.com/mitf-dev-space/mitf-siraj-mobile,planned,
M4,Waha Mobile,mitf-waha-mobile,http://10.10.20.51/front-end/banking/waha-mobile,front-end/banking,mobile,banking-mobile,main,development,False,True,4,https://github.com/mitf-dev-space/mitf-waha-mobile,planned,
M4,Wahda Business,mitf-wahda-business,http://10.10.20.51/front-end/banking/wahda-business,front-end/banking,mobile,banking-mobile,develop,master,False,True,7,https://github.com/mitf-dev-space/mitf-wahda-business,planned,
